docID	label	text
in search of multiculturalism in the library science curriculum	1995	this article discusses the need for multiculturalism to be an integral part of the library science curriculum and relates the results of a survey of library schools on the issue of multiculturalism and curriculum modification revision the authors conclude that the issue has received increased attention and positive action but that a certain tension exists they also found that the least activity in modification revision concerning multiculturalism has taken place curiously in academic librarianship courses the authors support extended efforts of library schools to prepare librarians for work in an increasingly diverse society and library environment
promoting reflexivity and inclusivity in archival education research and practice	2010	the area of archival studies today transcends the professional field of archival science it encompasses an ever broadening array of disciplinary discussions and methodological approaches that are identifying critiquing and addressing the shifting social cultural philosophical and political as well as the technological imperatives of record keeping and remembering in the twenty first century reporting on two recent research projects and three ongoing educational initiatives this article suggests ways in which research and education in archival studies can play a central role in promoting more reflexive and inclusive ideas practices and research not only within the archival profession but also within the various library and information science lis and ischool settings in which archival education and research might be situated
censorship and childrens literature	1983	the present arguments over censorship of books for the young reveal among other things the conflicts in current social attitudes toward childhood and children this essay attempts to place such arguments in some historical perspective it suggests that the relative peace that prevailed in the field of childrens literature from roughly 1900 to 1965 was the result of a broad consensus within the field about the needs of childhood and the function of literature for children that consensus was in turn the result of the general homogeneity of the people involved in the production and purchase of books for children agreement broke up in the mid 1960s when groups heretofore unconcerned with childrens books began to see their social and political implications enormous changes in the content of childrens literature followed with some paradoxical shifts in liberal conservative positions on censorship the 1980s promises to be a period of conflict as conservative reaction against the liberal trends of the 1970s tries to reverse an accomplished transformation in the literature
visualizing identities in lis literature	2018	this paper is based on statistical and qualitative analysis of library and information science lis literature our study asks the question of whether and if so how and how often the discourse generated by scholarly literature in lis engages discussion about identity in lis what topics are covered and whether the articles engage praxis or the application of theory to practice through searches in lista database that cross referenced identity terms eg gender lgbt with terms describing prominent areas in the lis field we collected quantitative data and analyzed the co occurrence of keywords and created network visualizations we used a qualitative coding scheme to rate abstracts in terms of their relevance and actionability both modes of analysis show that generalized conversations about identity are most common and praxis is rarely achieved using critical approaches to lis we explore the ramifications of silences within lis literature upon the pedagogical and professional discourse
supporting first year e learners in courses for the information professions	2006	a considerable amount of research has been done into students first year experiences at university their transition from school to university and their social needs and experiences the work described in the literature has concentrated on students who attend on campus if on campus students are experiencing problems with feeling isolated a lack of identity and feeling part of a community then how do online students deal with these same issues a research project conducted at edith cowan university in 2004 2005 sought to discover the issues affecting first year students and the problems they experienced when beginning studies in online professional education programs for librarians library technicians teacher librarians archivists and records managers an anonymous web survey and feedback from students were used to find out how the online environment differs from the on campus experience to examine students emotional response to studying online and to facilitate a more supportive experience at university this paper reports the results of online students first year experiences and the use of discussion forums to create an online learning community
the library in the lives of latino college students	2006	libraries share a perception of embracing and providing for all users however they also share a common philosophical stance shaped by librarians individual discursive formations and the dominant cultural hegemony that values some users over others latinos constitute one of the fastest growing nondominant populations in the united states and the literature suggests that libraries do not always serve them adequately this was reinforced by interviews with seven latino undergraduate students that suggest ambiguous feelings toward libraries and a strong need for some sort of cultural reinforcement this study of users perceptions of libraries may help librarians and policy makers consider more pluralistic approaches to library services
be slow skeptical and classify	2019	this paper argues that medium for information access becomes central to library and information science the author discusses the notion of medium medium neutrality and personalization and suggests that the dominating paradigm of providing fast efficient and neutral systems and services for retrieving information has sidetracked opportunities to explore the impact of medium on information access the paper makes three specific recommendations for library and information science education be skeptical slow down and understand classification
information access and exchange among small worlds in a democratic society the role of policy in shaping information behavior in the post 911 united states	2005	every democratic society relies on deliberation and dialogue between social groups with varying perspectives to provide for the representation of the diverse members of the society meaningful deliberation is based on open access to information by individuals and free exchange of information between different social groups policy developments in the united states since september 2001 however have altered the roles of information in many social contexts with impacts on information access and information exchange between social groups these changes have the potential to be of great consequence to social and political uses of information in society libraries as established guardians of diverse perspectives of information are in a unique position to protect and preserve information access and exchange in this new policy environment
if diversity is a natural state why dont our libraries mirror the populations they serve	2015	synonyms for diversity include assortment difference distinctiveness medley unlikeness and variety note that not one of these terms includes the concept of quotas or force of any kind diversity is the natural state sameness and uniformity are unnatural diversity is not about color gender age language or sexual orientation it is about all of these things if we do not ensure that our libraries have frontline professionals who reflect the nature of the communities with which they work then we will lose valuable patrons they will turn instead to their neighbor who looks just like them regardless of whether or not they receive valid information from that person encouraging diversity and looking at things differently are some of the most important things libraries do as educational institutions this article explores ways to ensure that in the future our library and information professionals mirror the people they serve
negotiating borders	2017	recent developments in canada the united states and beyond continue to test librarians resolve and to redefine how we view ourselves and engage with communities drawing on examples from both canada and the united states and deploying the concept of border as an analytical trope we seek to probe and unsettle the geographic professional and ideological interfaces that librarians constantly negotiate in a world where data know no borders but indigenous and other bodies are constrained by them how do we respond to the calls to action of canadas truth and reconciliation commission to the violent displacement of millions of syrians to the resurgence of divisive politics and racist rhetorics or to the surrender to data using the trump election as a launching point we explore key drivers for change in lis in instances when politics spill into our professional purview
multicultural young adult literature as a form of counter storytelling	2013	counter storytelling is defined by critical race theory scholars as a method of telling the stories of those people whose experiences are not often told including people of color the poor and members of the lgbtq community this article discusses multicultural young adult literature as a form of counter storytelling with an emphasis on how counter stories challenge the stereotypes often held by the dominant culture give voice to marginalized youth and present the complexity of racial and ethnic identify formation
camp read a rama® and fully engaged literacy learning	2016	literacy and literacy skill development remain critical concerns in the us “two of every three students in the us do not have the necessary reading proficiencies to successfully complete grade level work” allington 2011 camp read a rama a summer day camp in south carolina for 4  to 11 year olds creates innovative programming using children’s literature as the springboard for all camp activities activities connect with and reinforce concepts in children’s literature thereby helping children learn to “live books” and understand connections between their reading and their lives for six summers 2009–2014 camp read a rama has provided fully engaged week long themed literacy immersion experiences that seek to turn “summer slide” into “summer stride” the purposes of this longitudinal mixed methods study were 1 to ascertain the impact of camp read a rama’s interventions on helping children develop positive attitudes toward reading and 2 to determine best practices for literacy skill programming with children in libraries and the communities libraries serve findings offer compelling evidence that strategies employed through camp read a rama programming positively impacted children’s attitudes toward reading and their interactions with books a critical step in literacy skill development and improvement analysis of parent guardian evaluations revealed the following emerging themes as perceived impacts of camp read a rama programming upon campers increased love and enthusiasm for reading improved reading and listening skills and a belief that camp activities create a deeper understanding of books and vice versa findings suggest that integrating literacy skill instruction and programming into lis curricula could better prepare librarians and lis professionals to have a greater impact on literacy skill development among the children they serve
creating space at the table	2017	many of the most challenged books year after year feature voices from diverse communities including those of women racial or ethnic minorities and lgbt people intellectual freedom protects these voices and protects our right to hear these voices this essay discusses the definition of intellectual freedom why diverse perspectives are important and how intellectual freedom can bolster diverse voices in turn this can improve our relationships with one another increasing empathy and respect which can be reflected in numerous ways and is particularly important in a divisive political climate
information literacy a contradictory coupling	2003	information literacy has established itself as an important subfield of librarianship yet although librarians justify information literacy as increasing democratic participation by all citizens their efforts to improve quality control of information also threaten to restrict choice in systematic ways this contradiction results in part from the genealogy of the terms information and literacy terms that share a relationship traceable to an enlightenment ideology namely that reading could transform society by informing its people but readings power to transform was also a contested issue for groups seeking political and cultural ascendancy and reading genres that initially challenged conventional thought evolved into those that buttressed it in the process some groups came to be defined as information consumers and simultaneously excluded from the role of information producers strategies that can raise awareness of the assumptions underlying this legacy include critical analysis of language use and envisioning information use as a process that involves all users in both consumption and production adopting these can help librarians recognize that the tensions inherent in the discourse and practice of information literacy are not only unavoidable but essential if the basic condition of democracy  citizen participation  is to be fulfilled
library school faculty doctorates a statistical review	1982	this study was undertaken to determine whether or not there was an over all discernible trend either downward or upward in the percentage of earned doctorates held by the faculties of the accredited library school programs during the period from 1960 to 1978 the over all percentage of faculty members with doctorates increased from 321 percent in 1960 to 659 percent in 1978 the largest over all gain was made at the assistant professor level although women have made a more spectacular gain in the percentage of doctorates held than men men throughout the period have held a larger percentage of doctorates than women women in 1960 filled a majority of the positions in the accredited schools men constituted a majority in the 1978 79 academic year the phd first with a major in library science and then followed by majors in other disciplines â€” most frequently the humanities or educationâ€”is the most common type of doctoral degree held by library school teachers eight schools located in the great lakes region and the east â€” are primarily responsible for granting the library science doctorate to library school faculties
expanding lis education in the us department of states diplomacy lab program	2018	this article focuses on two collaborative projects selected by the howard h baker jr center for public policy at the university of tennessee to partner in the us department of states diplomacy lab program that engages college students and faculty to study foreign policy challenges the projects allowed information science graduate students to learn applied research in the process of developing geographic information systems for lesbian gay bisexual transgender and intersex advocacy the paper identifies opportunities challenges and best practices in content delivery resource development and extended relationship building while drawing upon teaching research advocacy intersections in library and information science education
teaching to dismantle white supremacy in archives	2017	this article reflects on an exercise i developed to enable students to identify the ways in which white privilege is embedded in archival institutions and to collectively strategize concrete steps to dismantle white supremacy in their own archival practice it argues that in the face of disastrous political events such as the election of an explicitly racist protofascist as us president lis faculty must intervene pedagogically to meet the needs of their most vulnerable students and to model behaviors of critique and resistance if we aim to train students who will disrupt the status quo of oppression as lis professionals the article includes printable graphics designed by gracen brilmyer and generated by the class exercise to serve as a visual reminder of our obligation to dismantle white supremacy in archival studies and archives more broadly
bibliographic instruction and mass media news literacy a theoretical background	1998	this article suggests that bibliographic instruction bi librarians consider integrating a mass media news literacy and awareness component into their teaching duties as the concentration of media power in the hands of a small number of corporate entities increases and as market driven management imperatives dominate publishing practices students should possess the skills to evaluate effectively and critically mass media sources such as main stream newspapers and magazines to this end a theoretical framework for understanding mass media news influence is offered the concepts of agenda setting priming framing asymmetrical selection binary oppositionalism and institutional hegemony are explored in a survey of relevant literature from the fields of journalism and communications a teaching strategy incorporating these concepts is sketched out the strategy highlights one news event and compares how different news sources report that event through such an exercise students will be able to recognize how different news frames affect understanding of the topic in question ultimately the successful bi program will be defined by the extent to which students move away from a passive reading of news media sources to a position where they are able to decode the social context of mainstream news production and develop informed and negotiated reading practices
books on the frontier the extent and nature of book ownership in southern indiana 1800 1850	1972	the quality of the cultural life of the american frontier has long been in dispute some historians argue that the frontier forced the pioneers to revert to a near barbaric stage while it divested them of all aspects of their former cultures others maintain with equal vigor that the society which developed on each frontier was very nearly a carbon copy of the settled areas further east and that the culture of americans had not been significantly altered by the frontier process most agree however that evidence testifying to the nature and extent of book ownership provides one means of measuring the progress of culture on the frontier this paper summarizes the results of an intensive study of this topic on the southern indiana frontier data were collected from a variety of sources but especially important were county probate records which often contained inventories indicating books owned by early indiana residents an examination of over 2000 inventories located in sixteen southern indiana counties produced descriptions of more than 500 private libraries an analysis of these libraries shows that the pattern of book ownership was not startingly different from that revealed by similar studies of book ownership in the american colonies in the seventeenth and eighteenth centuries clearly books were not impossible to acquire in early indiana and a sizable proportion of the estates inventoried in the counties studied contained books most of the collections were small and narrowly religious in nature with larger libraries still tending toward the utilitarian however a small number of inventories were discovered which listed large numbers of books a few men  those with both the means and the inclination  built large and well balanced libraries on the indiana frontier
diversity in lis education resources	2017	in light of events in several countries that were instigated by values that are contrary to those held by the association for library and information science education alise the alise board of directors reaffirms its commitment to and promotion of diversity equality and inclusion in the library and information science lis education and professional community and condemns racism hate bigotry and violence diversity and inclusion are core elements of the lis curriculum to help lis instructors teach and promote diversity equality and inclusion in their curriculum we have compiled a list of recent works this list is intended to serve as a living document we encourage lis educators professionals and students to use these resources in relevant learning settings to further promote these values within the communities we serve august 24 2017
deans rank indicators of effectiveness for schools of library and information studies	1996	this article identifies indicators of effectiveness that deans of schools with american library association ala accredited programs believe are essential important or not important to know about a school of library and information studies lis in order to evaluate it a previous article by the same authors focused on views that members of four constituent groups of lis schools hold about the same indicatorsâ¹ comparing deans with the constituent groups there is 77 percent agreement between deans and members of alas committee on accreditation coa over which indicators of effectiveness belong in each of the three designated categories there is less agreement between deans and senior academic administrators 70 percent alumni 57 percent and employers 44 percent overall deans focus heavily on administrative faculty and resource issues
the advantages of diversity	2013	in college i was surprised by the excitement of those in the student union who were hovering over the headlines in the local newspaper russia launches the first satellite sputnik russia had won the race to space how could russia where the majority of the population had only learned to read and write in the last fifty years outdo the united states heres how in 1945 the allies allocated berlin to russia russia seized german scientists and jewish intellectuals in countries from the baltic to the adriatic thus acquiring a new talent pool of the brightest minds in europe its edge over the united states in the space race succeeded because of a diverse talent pool of harnessed diversity this caused us leaders to evaluate their own scientists the united states realized that the only way to win the space race was to expand the educational system to include all races and cultures
evaluating cultural authenticity in multicultural picture books a collaborative analysis for diversity education	2014	this study examines cultural authenticity reflected in multicultural picture books specifically this study attempts to reframe issues surrounding the topic of cultural authenticity based on a systematic and empirical analysis of picture books that represent three different ethnic groups african americans asian americans and hispanic americans a total of forty five systematically selected picture books that represent fifteen books per ethnic group were selected and evaluated by multiple reviewers who were insiders of the culture a coding scheme was developed to evaluate each book in terms of profile of major and minor characters settings of the story stereotypical features and cultural authenticity an in depth evaluation of all selected books was added by a team of three reviewers in order to validate the results of the coded analysis this study aims to shed light on library youth services and diversity education in a society with increasing ethnic diversity
early literacy in library storytimes	2016	across the nation librarians work with caregivers and children to encourage engagement in their early literacy programs however these early literacy programs that libraries provide have been left mostly undocumented by research especially through quantitative methods valuable initiatives in early learning that work successfully views2 was designed to test new ways to measure the effectiveness of these early literacy programs for young children birth to kindergarten leveraging a mixed methods quasi experimental design using two innovative tools researchers collected data at 120 public library storytimes in the first year of research observing approximately 1440 children ranging from birth to 60 months of age analysis of year one data showed a correlation between the early literacy content of the storytime program and childrens outcomes in terms of early literacy behaviors these findings demonstrate that young children who attend public library storytimes are responding to the early literacy content in the storytime programs
the portrayal of librarians in obituaries at the end of the twentieth century	2004	obituaries can reveal much about the way a profession is conceived and structured in the popular imagination this article examines obituaries of librarians in the new york times between 1977 and 2002 to determine how librarians were presented to the general public by a major newspaper although librarianship is a femaleâ€intensive profession 634 percent of the obituaries chronicled the lives of male librarians although public and school librarians outnumber their academic counterparts obituaries focused on academic librarians far from creating a stereotypical portrait of librarians as shy dour dowdy and sheltered individuals the emphasis on large scale achievements in the obituaries produces an image of librarianship as a glamorous profession some librarians are presented as sleuths and detectives who amassed large collections they contributed to the progress of scholarly research with extensive publications many others had connections to prominent people making the most of these social networks in their work librarians were also players on the global stage founding libraries abroad and developing international guidelines that led to institutional progress emphasis on large scale accomplishment however tends to obscure the contributions of librarians who daily perform countless small and caring acts that summed together positively affect the lives of ordinary individuals
gay mens book clubs versus wisconsins public libraries political perceptions in the absence of dialogue	2010	because of an absence of dialogue a tense relationship appears to exist between wisconsins gay mens book discussion groups and their local public libraries public library directors express interest in accommodating these groups if approached but face budget restrictions and local communities that may oppose these gatherings gay mens book clubs prefer meeting in private homes and other openly gayâ€friendly environments largely because of the conservatism of cultural institutions in their collective memories this qualitative study argues that with consistent dialogues gay discussion groups can help public libraries achieve their missions of diversifying their patrons collections and services and that public libraries can assist gay communities with establishing themselves in the city or countys history by hosting visible public discussions of gay texts as markers of an entire communitys cultural heritage
a neighborhood analysis of public library use in new york city	2005	the use of 200 public libraries in new york city was analyzed according to their neighborhood characteristics in addition to demographic economic and cultural factors traditionally considered the social and spatial interactions within a neighborhood were related to public library use correlation and regression analyses were implemented for all the libraries the research found that traditional factors are not enough to explain public library use especially in a cosmopolitan area such as new york city social connections and racial diversity and integration stimulate public library use based on these findings suggestions were made for improving the underutilized library branches in disadvantaged neighborhoods
a comparison of online and face to face cohorts in a school library media specialist graduate program a preliminary study	2006	school library media specialist training via distance education is of interest to the library community which is seeking to stem the shortage of school library personnel however the effectiveness of distance education compared to face to face delivery has not been thoroughly evaluated this study compares one graduate level school library media specialist program delivered both through online and face to face instructional delivery methods we found that for the most part the two student cohorts distance and face to face performed equally in the areas demonstrating content knowledge however the online cohort earned fewer points than the face to face cohort on some project activities demonstrating the difficulty in relating the intricacies of project work via an online course this study suggests that the delivery of school library media specialist training can be conducted through an online format if attention is paid to communicating the details of project based work
problems and possibilities the public library in the borderline between modernity and late modernity	2007	the public library is a product of modernity that follows in the wake of industrialization urbanization and popular movements while at the same time the public library itself supports the building up and development of the modern this article will examine the arrival of modernity and the prerequisites for the rise of public libraries as well as some crucial aspects of the relationship between the public library and modernity furthermore by means of contributions from recent significant sociologists such as anthony giddens jean‐françois lyotard and scott lash we shall discuss the implications of the development of late modern or postmodern society for the present public library
accessibility and diversity in library and information science	2016	we incorporate the perspective of diversity in order to discuss accessibility problems in lis diversity is defined as the ability to create and ensure inclusive information access and services for different user groups we outline the results of our study on library website accessibility for screen reader users based on our findings we argue that the inaccessibility of library websites is primarily a problem of diversity rather than being merely a technical issue the high level implications of this problem indicate the need to adopt inclusive principles that require usability beyond accessibility for all user groups in library web design to meet this goal we propose an inclusive information architecture specifically focused on screen reader access our intention is to present broader guidelines for information design by illustrating one way in which inclusive principles can be applied to library website design by expanding and customizing the information architecture to meet the individual needs of diverse user groups
what we talk about when we talk about free speech	2015	american law is unique among western nations in its protection of hate speech defined as speech against groups of people limits to any legal speech are viewed as potential encroachments on first amendment rights the profession of librarianship has formally embraced and defended a strict interpretation of the first amendment in the freedom to read statement and in court however individual librarians and scholars of law are not unanimous in defending hate speech this article offers a rhetorical analysis of the defense of hate speech in these fields in order to illustrate a paradox speech that intimidates is designed to silence others voices good speech does not necessarily offer an antidote to bad speech when bad speech is loud and spoken often the consequences of allowing all speech in public forums should be regularly evaluated so public spaces remain places where everyone is free to enter and be heard without fear
critical directions for archival approaches to social justice	2016	this article explores the rich history of social justice as a concern in archival studies and delineates future lines of inquiry for the field we begin by examining how social justice has been defined in the archives literature and its implications for archival studies next we draw forth five major strands of archival thinking in relation to social justice we identify prominent areas in the archival literature that highlight the relationship between archives and social justice we also identify critical questions in the relationship between social justice and archives and propose new research trajectories that we deem necessary to advance the archival field in general and its scholarship in particular finally we argue for the importance of research that strengthens the tenets of social justice as a central principle in archival scholarship and practice
from queer to gay and back again young adult novels with gay lesbian queer content 1969 1997	1998	approximately one hundred young adult novels with gay lesbian queer content have been published since the first one appeared in 1969 building on earlier content analysis research this article provides three theoretical approaches to understand the evolution of this subgenre drawing on the work of gerda lerner rudine sims bishop and george chauncey it concludes by highlighting themes and patterns that suggest the progress that has been made and has yet to be made in the realistic portrayal of gay lesbian queer lives in young adult fiction
service learning and lis education	2003	service learning which engages students and universities in community building has strong potential for advancing library and information science lis education advantages include increased student learning extended collaboration decreased isolation and promotion of the common good examples of service learning projects in lis education offer models for imitation fieldwork offers opportunities for integrating service learning into the curriculum lis professors engaged in teaching which qualifies as service learning should forge alliances with others involved in service learning on their own and other campuses
contested terrain accreditation and the future of the profession of librarianship	2006	this article explores the future trajectory of librarianship and its status as a profession in the context of the contested terrain of the information professions and particularly the development of a differentiated information technology workforce andrew abbotts theory of the system of professions informs the historical comparison and future forecasting of the relative power of librarianship and the emerging information technology professions to persist into the twenty first century how might value differences manifest themselves in the development of a legitimatizing process for information technology education what effect might these have on the future development of information technology degree programs offered within schools of information studies is it likely that the stability that ala has enjoyed as a mediator between librarianship and the discipline of information studies will be challenged finally what are the likely consequences for the status of the profession of librarianship
preparing the next generation of librarians for family and community engagement	2018	many librarians work in public libraries to make a difference for children families and communities and identify family and community engagement as a cornerstone of their responsibilities for librarians to be successful they must be afforded strong foundations in family and community engagement that begin early in their preparation yet little is known about the knowledge skills and dispositions that librarians need to engage families and communities and these topics are rarely covered in schools of information and library sciences the purposes of this exploratory paper are to identify the competencies that librarians need to engage families and communities and to understand promising pedagogical methods for promoting them interviews were conducted with 11 library educators at leading schools of information and library sciences within the united states to understand their perspectives on the topics results reveal three main goals for the preparation of librarians for family and community engagement 1 to provide librarians with knowledge of families and communities 2 to promote relationship building skills and 3 to encourage the mindset that librarians are professionals experiential and connected learning opportunities are the most promising methods for achieving these outcomes findings are discussed in terms of four main recommendations for stronger integration of family and community engagement into existing curriculum
services to older adults preliminary findings from three maryland public libraries	2009	this article reports preliminary findings of an evaluation of the services to older adults at three public libraries in maryland data were collected in spring 2007 through interviews with nine library administrators and staff and surveys with twenty six older adult patrons at the three libraries approximately eight hours of observation were also conducted to gather contextual data to supplement the interview and survey data the seven guidelines laid out by the american library association 1999 were used to guide the design of data collection instruments and the analysis of data one key finding is that these libraries offer few programs and services geared to healthy and active older adults thus leaving much room for improvement in the future interestingly the libraries still received high praise from the older adult participants a phenomenon that requires further examination a number of recommendations are offered to help public libraries to better serve the aging population in their communities
the more things change the more they stay the same	2018	discussions of diversity in american librarianship usually focus on gender or ethnicity but historical studies also show a lack of diversity in educational and disciplinary backgrounds librarians traditionally hail from the humanities especially english and history but as current educational attention shifts to science technology engineering and math stem fields are librarians reflecting this change anonymized data from ala accredited graduate programs from the last five years were collected coded and classified to determine librarians educational and disciplinary backgrounds and in what ways if any they differ from the past 65 years and from the contemporary us general population unsurprisingly we found that contemporary librarians still hail predominantly from english and history a stark contrast from the business and health undergraduate degrees earned by the general us population backgrounds in stem fields remain lacking in librarianship but librarians with undergraduate education in the arts are on the rise perhaps supporting the creativity flexibility innovation and risk taking necessary in twenty first century libraries
diversity by design	2017	in this article we introduce the concept of diversity by design this concept is relevant to library and information science lis education professional environments and partnership based community engagements building on our experience as educators and researchers we illustrate this concept in the context of lis graduate education and invite readers to contemplate whether this concept makes sense to them and if yes how it works in their respective workplaces and communities we interrogate the term diversity bringing to light the multiplicity of contexts that give diversity meaning and life in our complex field by so doing we demonstrate that diversity broadly conceived is foundational to lis and that discounting or underappreciating its pivotal function may have a disintegrating effect on our practice scholarship and education
literacy practices of linguistic minorities sociolinguistic issues and implications for literacy services	1999	literacy as it applies to linguistic minorities is examined as a discourse of power in this theoretical article literacy needs to be redefined in order for librarians to be able to provide people whose languages are not the dominant or official ones in society with appropriate literacy services this redefinition recognizes the politics of language and literacy challenges the mainstream dominant culture concept of literacy and includes 1 expanding the definition of literacy that takes into account the language and cultural knowledge of linguistic minorities 2 examining the nature of literacy and literacy practices of linguistic minorities from a social perspective and 3 understanding how the literacy of linguistic minorities is measured by understanding these critical issues of adult literacy in linguistic minority communities librarians can implement the proposed strategic directions for delivering appropriate literacy services to linguistic minorities
a white librarian in black harlem	1990	ernestine rose 1880 1961 was a pioneer in providing library services to blacks in harlem at the 135th street branch of the new york public library from 1920 to 1942 she galvanized the resources of the community and applied the prestige of the new york public library to plan execute and promote library services at a time when blacks were moving in large numbers to new york after world war i under roses leadership the branch became a model of public library services to an underserved minority the purpose of this study is to chronicle and assess her work during the negro renaissance a dynamic period of the communitys history
google books libraries and self respect	2016	if google books has been successful in furthering the cause of social justice with regard to information it is along narrowly distributive lines drawing on critics of distributive justice and emphasizing the value of self respect the author argues that googles massive digital scanning initiative especially as compared to the liberal democratic institution of the public library exposes and exacerbates injustices with regard to information technology and institutions that are not easily captured along distributive lines in particular attention is paid to three features of the project the quality of googles book scans the politics of online search and googles conception of the value of information as demonstrative of the too slender foundation for self respect the google books project offers its users
library history without walls clios decalogue revamped for the untenured   	1995	the neglect of library history is taken for granted even if it is undeserved and even if proposals have been regularly advanced for improving its status one of the most prevalent salvos proposed focuses on interdisciplinarity and publishing outside the field of librarianship few if any writers have addressed the problem of how the novice professor with a genuine research interest in library history can meet the requirements of tenure by pursuing a low status specialty endure the rigors and expense of historical research and gain the respect of peers while at the same time promoting the value of the subject outside the field this article suggests that in order to survive as library historians and library educators some of the conventional wisdom surrounding tenure tactics may need to be disregarded or modified
recruitment of library school faculty	1986	library schools primarily recruit teachers by contacting individuals known in advance to the dean andor faculty or by publicizing an opening and soliciting applications the first is operative most frequently in the recruitment of information scientists and senior faculty the chronicle of higher education appears to be the most effective medium for the second approach the annual alise meeting plays an important role in the recruitment process as well
web supported teaching in the department of information science at the university of pretoria	2002	in order to support the mission of the university of pretoria south africa the tuition methods in a number of modules in the department of information science have been transformed from traditional classroom presentations to a learner centered approach supported by web based material in a flexilearning environment a comparison is drawn between the honors fourth year program in library and information science lis and the undergraduate program in multimedia with regard to program outline student profile teaching methods the support of the academic information service ais and information technology it as well as the attitude of the students toward the changes qualitative methods of data collection were used problems and successes are highlighted in conclusion a number of recommendations are made
